页码,识别文字,置信度,左上角坐标,右下角坐标
1,1,0.1157,[235   9],[272  39]
1,规范汉字7000字,0.9959,[369   4],[737  49]
1,行楷,0.9887,[1880    4],[1983   66]
1,推手临,0.1511,[2010    8],[2154   59]
1,通用规范汉字表（一级字表）,0.9982,[484 192],[1859  299]
1,《通用规范汉字表》是落实《国家通用语言文字法》，满足当今信息时代汉字应用需要的基础规范。,0.9961,[321 384],[2100  433]
1,《通用规范汉字表》分为三级，不同级别的汉字，通行度不同，作用也有明显不同，下面我们选取了使用,0.9846,[237 446],[2095  489]
1,频率最高的一级字表，主要满足基础教育和文化普及的用字需要。,0.9959,[241 505],[1555  546]
1,二十丁厂七卜八,0.8114,[915 608],[2110  771]
1,邦,0.0703,[435 637],[535 759]
1,2,0.9213,[600 642],[717 741]
1,2画,0.9976,[739 650],[872 714]
1,画,0.9994,[274 664],[358 714]
1,K,0.314,[315 749],[ 322 1002]
1,入儿匕几九习了刀力乃,0.906,[388 765],[2118  949]
1,又,0.9904,[250 928],[ 385 1109]
1,三干于亏工土士才,0.9468,[565 932],[2004 1119]
1,3画,0.9953,[415 995],[ 534 1059]
1,寸大丈与万上小口,0.9282,[ 215 1092],[1665 1295]
1,S,0.0517,[1418 1192],[1432 1195]
1,乞川亿个夕久么勺凡丸,0.8486,[ 209 1270],[2049 1461]
1,广,0.9691,[ 246 1440],[ 359 1644]
1,弓,0.5371,[1980 1479],[2094 1616]
1,4画,0.9881,[1953 1673],[2127 1823]
1,区,0.9997,[1772 2010],[1944 2173]
1,2,0.1883,[1989 2113],[2125 2328]
1,\,0.779,[ 225 2154],[ 339 2328]
1,友,0.9994,[ 392 2197],[ 521 2328]
1,尤,0.9891,[ 569 2200],[ 693 2328]
1,匹,0.9854,[ 746 2195],[ 865 2328]
1,车,0.9968,[ 924 2207],[1040 2328]
1,牙屯,0.998,[1274 2199],[1691 2328]
1,巨,0.9928,[1095 2211],[1223 2328]
1,戈,0.9438,[1640 2218],[1756 2327]
1,比,0.9835,[1825 2231],[1926 2327]
2,迪用,0.8865,[186   0],[317  72]
2,规范汉字7000字,0.9738,[323   3],[726  61]
2,[行楷]教学版,0.9526,[1870   10],[2160   87]
2,切瓦止少曰日中贝冈内水,0.9355,[190  93],[2160  285]
2,什片仆化仇币仍仅斤爪反,0.9775,[196 433],[2160  650]
2,元方火为斗忆计订户认冗,0.9359,[205 961],[2155 1167]
2,予邓劝双书幻,0.9629,[ 195 1307],[1243 1494]
2,5画,0.9982,[1257 1363],[1391 1447]
2,示击打巧正扑卉扒功扔,0.9663,[ 189 1471],[1965 1680]
2,石右布夯戊龙平灭轧东卡,0.961,[ 189 1855],[2090 2025]
2,入笔迅速,0.9756,[ 270 2089],[ 428 2135]
2,点末带钩以启下,0.9927,[ 700 2095],[1018 2132]
2,下钩点,0.9633,[ 157 2106],[ 204 2240]
2,部。笔尖由轻至重向右,0.9963,[ 620 2150],[1019 2185]
2,下入纸，至末向左下出,0.9847,[ 620 2204],[1017 2238]
2,京京京,0.9973,[1073 2214],[1542 2336]
2,钩。,0.983,[ 613 2254],[ 688 2307]
2,微信号：shufa,0.9629,[1756 2255],[2159 2338]
2,折钩干脆,0.9883,[ 357 2266],[ 515 2308]
3,通用,0.9939,[173   0],[312  87]
3,规范汉字7000字,0.997,[309  14],[712  68]
3,[行楷]教学版,0.8931,[1846    9],[2137   86]
3,北占凸卢业旧帅归旦目,0.9672,[179  98],[2002  278]
3,且,0.9722,[1937  112],[2115  261]
3,叶甲申叮电号田,0.9754,[174 263],[1467  471]
3,p,0.767,[1106  418],[1212  651]
3,央兄叽叼叫,0.8957,[180 446],[1114  614]
3,叨另,0.965,[1233  442],[1617  606]
3,叹冉,0.9002,[1594  453],[1933  607]
3,代仙们仪白仔他斥瓜乎丛,0.9568,[177 773],[2125  984]
3,令用甩印尔乐句匆册卯,0.9352,[187 952],[2012 1146]
3,犯冯它司皮丝,0.9692,[1918  955],[2155 2053]
3,外处冬鸟务包饥主市立,0.9889,[ 194 1126],[1976 1314]
3,玄闪兰半汁汇头汉宁穴,0.9786,[ 200 1292],[1951 1476]
3,讨写让礼训议必讯记永,0.9773,[ 190 1450],[1959 1647]
3,尼民弗弘出辽奶奴召加,0.9607,[ 186 1628],[2001 1827]
3,边孕发圣对台矛纠母幼,0.9908,[ 187 1794],[1987 2009]
3,邦式迁刑戎动扛寺吉,0.9359,[ 350 1969],[2010 2187]
3,扣,0.9885,[1980 2011],[2122 2158]
4,通用,0.9911,[186   0],[320  81]
4,规范汉字7000字,0.9948,[317   9],[729  66]
4,[行楷]教学版,0.9279,[1872   12],[2160   90]
4,耳芊共芒亚芝朽朴机权过,0.965,[194  95],[2160  272]
4,协西压厌成在百,0.9526,[709 263],[1997  455]
4,吏而,0.9735,[389 282],[538 670]
4,再,0.9752,[555 287],[804 450]
4,页,0.9767,[578 423],[706 628]
4,匠夸夺灰,0.9949,[715 421],[1455  663]
4,列,0.9987,[1642  463],[1794  609]
4,死,0.9987,[1793  457],[2022  614]
4,此,0.9958,[1813  630],[1973  807]
4,至,0.984,[1591  661],[1807  770]
4,尘尖劣光当早吁,0.7542,[358 779],[1680 1009]
4,下,0.421,[1806  800],[1967  962]
4,吐,0.9993,[1594  814],[1779  968]
4,岁帆回岂则刚网肉年朱,0.9723,[ 342 1136],[2160 1356]
4,伊,0.9993,[1988 1682],[2141 1858]
4,血向似后行舟全会杀合兆,0.9626,[ 210 1863],[2155 2043]
4,横向排列的两个点,0.9983,[ 714 2070],[1035 2116]
4,横连点,0.9218,[ 194 2107],[ 240 2235]
4,用笔轻灵,0.9782,[ 302 2099],[ 451 2145]
4,视情况可以连带书写，注,0.9931,[ 635 2126],[1036 2170]
4,意笔画的起伏，呈流动,0.9893,[ 637 2182],[1033 2222]
4,状，书写时注意各点主次,0.9845,[ 633 2234],[1030 2274]
4,志志志,0.9733,[1105 2232],[1561 2326]
4,牵丝不可极,0.8299,[ 392 2279],[ 579 2321]
4,微信号,0.9875,[1781 2272],[1960 2325]
4,分明，牵丝可断可连,0.9774,[ 629 2287],[ 964 2325]
5,通用,0.9715,[171   0],[305  72]
5,规范汉字7000字,0.9962,[306   4],[715  57]
5,[行楷]服学版,0.873,[1871    3],[2157   77]
5,企众爷伞创肌肋朵杂危旬,0.953,[175  86],[2160  257]
5,灯宇,0.9119,[172 746],[ 350 1137]
5,州汗污江汛池汝汤忙兴,0.9629,[292 752],[2160  983]
5,守宅字安讲讳军讶许讹,0.9809,[336 942],[2160 1131]
5,讼农讽设访诀寻那迅尽,0.979,[ 343 1105],[2160 1305]
5,买,0.9965,[2003 1453],[2151 1623]
5,红驮纤驯约级纪驰纫巡,0.9137,[ 149 1608],[1999 1839]
5,画,0.7031,[1999 1682],[2149 1792]
5,运扶抚坛技坏抠扰扼拒,0.9309,[ 323 1982],[2160 2181]
5,找,0.9932,[ 152 2161],[ 365 2328]
5,批址扯走抄,0.9938,[ 329 2177],[1241 2332]
5,贡录坝攻赤,0.95,[1226 2182],[2151 2332]
6,通用,0.7769,[167   0],[308  75]
6,规范汉字7000字,0.9938,[301   4],[713  57]
6,[行楷]教学版,0.9333,[1876    2],[2160   76]
6,折抓扳抡扮抢孝坎均抑抛,0.8897,[170  94],[2160  254]
6,投坟坑抗坊抖护壳志块扭,0.9738,[173 273],[2160  436]
6,声把报拟却抒劫芙芜苇芽,0.9331,[159 426],[2160  641]
6,豆,0.8537,[1865  922],[1917 1190]
6,还尬歼来,0.9576,[1237 1118],[1992 1333]
6,里,0.1848,[ 416 1435],[ 456 1710]
6,呆吱吠呕园旷围呀吨,0.9808,[ 466 1463],[2160 1685]
6,纵向排列的两个点,0.9985,[ 691 2049],[1014 2093]
6,22,0.5796,[1100 2052],[1540 2133]
6,纵连点,0.992,[ 151 2089],[ 212 2218]
6,两点对正，在,0.8945,[ 306 2080],[ 515 2121]
6,视情况可连带书写，或,0.9878,[ 607 2103],[1015 2145]
6,一条直线上,0.9976,[ 308 2116],[ 496 2161]
6,者笔断而意连，书写时,0.9922,[ 611 2157],[1014 2196]
6,~,0.483,[ 373 2167],[ 441 2269]
6,应注意各点主次分明，,0.9935,[ 608 2209],[1011 2247]
6,冬冬冬,0.9986,[1068 2200],[1560 2330]
6,微信号：shufa,0.9649,[1755 2248],[2159 2333]
6,整体呈流动状。,0.9962,[ 611 2261],[ 875 2302]
7,通用规范汉字7000字,0.8923,[163   0],[722  99]
7,ODOT,0.6067,[1653   10],[1796   56]
7,[行楷]学版,0.8766,[1868    8],[2160   99]
7,秃秀私每兵估体何佐佑但,0.969,[164 249],[2160  472]
7,希,0.9997,[1993  628],[2132  786]
7,龟甸免狂犹狈角,0.9382,[163 950],[1503 1169]
7,删条彤卵,0.9961,[1417  948],[2160 1170]
7,,0.0,[1960 1043],[1971 1050]
7,灸岛刨迎饭饮系,0.9892,[ 168 1143],[1434 1321]
7,状,0.9994,[1799 1156],[1968 1306]
7,辛弃冶忘闺闲间闷判兑灶,0.9441,[ 158 1462],[2160 1691]
7,灿灼弟汪沐沛汰沥沙汽沃,0.9475,[ 167 1651],[2160 1859]
